Title,URL,License,ID,File
Ocena wybranych czynników wpływających na wrażliwość chemoreceptorów tętniczych u osób zdrowych,https://ppm.edu.pl/info/phd/UMW989aeff40c6b4850b9d8063d99830552?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BOcena%2Bwybranych%2Bczynnik%25C3%25B3w%2Bwp%25C5%2582ywaj%25C4%2585cych%2Bna%2Bwra%25C5%25BCliwo%25C5%259B%25C4%2587%2Bchemoreceptor%25C3%25B3w%2Bt%25C4%2599tniczych%2Bu%2Bos%25C3%25B3b%2Bzdrowych%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY-NC,1,https://ppm.edu.pl/docstore/download/UMWe1a3555c98a04693bec480a4aef45442/Adamiec+Dorota.pdf?entityType=phd&entityId=UMW989aeff40c6b4850b9d8063d99830552
Wpływ drenażu limfatycznego na insulinooporność tkankową u pacjentów z nieprawidłową masa ciała,https://ppm.edu.pl/info/phd/GUMb35f018e34064e37b92fdc98e8ed5234?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BWp%25C5%2582yw%2Bdrena%25C5%25BCu%2Blimfatycznego%2Bna%2Binsulinooporno%25C5%259B%25C4%2587%2Btkankow%25C4%2585%2Bu%2Bpacjent%25C3%25B3w%2Bz%2Bnieprawid%25C5%2582ow%25C4%2585%2Bmasa%2Bcia%25C5%2582a%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY-NC,2,https://ppm.edu.pl/docstore/download/GUM276331a984cf4dac850be3367f0f7e61/GUMb35f018e34064e37b92fdc98e8ed5234.pdf?entityType=phd&entityId=GUMb35f018e34064e37b92fdc98e8ed5234
Dializa otrzewnowa u pacjentów z cukrzycą i bez cukrzycy - ścieżki kliniczne na podstawie 15-letniej obserwacji ośrodka,https://ppm.edu.pl/info/phd/UMW3e25462c7d2b4c7cb7900720d47eb374?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BDializa%2Botrzewnowa%2Bu%2Bpacjent%25C3%25B3w%2Bz%2Bcukrzyc%25C4%2585%2Bi%2Bbez%2Bcukrzycy%2B-%2B%25C5%259Bcie%25C5%25BCki%2Bkliniczne%2Bna%2Bpodstawie%2B15-letniej%2Bobserwacji%2Bo%25C5%259Brodka%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY-NC-SA,4,https://ppm.edu.pl/docstore/download/UMW799895f00d2e4926ab08745772759c97/Bator-Dziubaty+Katarzyna.pdf?entityType=phd&entityId=UMW3e25462c7d2b4c7cb7900720d47eb374
Interwencja z zakresu opieki paliatywnej w praktyce lekarza podstawowej opieki zdrowotnej,https://ppm.edu.pl/info/phd/UMWbded011d25754e6e89e58e6e4ac4b1d5?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BInterwencja%2Bz%2Bzakresu%2Bopieki%2Bpaliatywnej%2Bw%2Bpraktyce%2Blekarza%2Bpodstawowej%2Bopieki%2Bzdrowotnej%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY,5,https://ppm.edu.pl/docstore/download/UMWb389023288f54ad8ab933192083ccabf/Biesiada+Aleksander.pdf?entityType=phd&entityId=UMWbded011d25754e6e89e58e6e4ac4b1d5
Czynniki determinujące pracę pielęgniarek anestezjologicznych oraz poziom bezpieczeństwa pacjentów,https://ppm.edu.pl/info/phd/UMW57a4e0bd828744a7a70ad308a5b91edf?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BCzynniki%2Bdeterminuj%25C4%2585ce%2Bprac%25C4%2599%2Bpiel%25C4%2599gniarek%2Banestezjologicznych%2Boraz%2Bpoziom%2Bbezpiecze%25C5%2584stwa%2Bpacjent%25C3%25B3w%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY,6,https://ppm.edu.pl/docstore/download/UMWfd6c1753e56442f08ecb93a44d28b553/Borodzicz+Adriana.pdf?entityType=phd&entityId=UMW57a4e0bd828744a7a70ad308a5b91edf
Zastosowanie torakoskopii w leczeniu wrodzonego zarośnięcia przełyku,https://ppm.edu.pl/info/phd/UMW1cfbe64e2dc74e92a0c5a6212f3ea23a?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BZastosowanie%2Btorakoskopii%2Bw%2Bleczeniu%2Bwrodzonego%2Bzaro%25C5%259Bni%25C4%2599cia%2Bprze%25C5%2582yku%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY-NC-SA,7,https://ppm.edu.pl/docstore/download/UMWafe2d84fa51a4bddb3d04b3efb84f951/Borselle+Dominika.pdf?entityType=phd&entityId=UMW1cfbe64e2dc74e92a0c5a6212f3ea23a
Zmiany w metabolizmie energetycznym komórek serca towarzyszące miażdżycy,https://ppm.edu.pl/info/phd/GUM68b164e56c8a44ba82cda373c1360bde?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BZmiany%2Bw%2Bmetabolizmie%2Benergetycznym%2Bkom%25C3%25B3rek%2Bserca%2Btowarzysz%25C4%2585ce%2B%2Bmia%25C5%25BCd%25C5%25BCycy%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY-NC-SA,8,https://ppm.edu.pl/docstore/download/GUM7c7d6b38c47d4130bb0d664cc7d1e116/GUM68b164e56c8a44ba82cda373c1360bde.pdf?entityType=phd&entityId=GUM68b164e56c8a44ba82cda373c1360bde
"Ocena ekspresji genów NTRK1, NTRK2 i NTRK3 w raku płaskonabłonkowym jamy ustnej",https://ppm.edu.pl/info/phd/GUMbb6a2b76a4d9494b94d58204f07533dd?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BOcena%2Bekspresji%2Bgen%25C3%25B3w%2BNTRK1%252C%2BNTRK2%2Bi%2BNTRK3%2Bw%2Braku%2Bp%25C5%2582askonab%25C5%2582onkowym%2Bjamy%2Bustnej%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY-NC-SA,11,https://ppm.edu.pl/docstore/download/GUMb5f1fce1a80540719c2b5cee11341e9d/GUMbb6a2b76a4d9494b94d58204f07533dd.pdf?entityType=phd&entityId=GUMbb6a2b76a4d9494b94d58204f07533dd
Ocena ryzyka sercowo-naczyniowego u chorych na spondyloartropatie zapalne,https://ppm.edu.pl/info/phd/UMWecc73bce44854bdbae3be035207246fb?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BOcena%2Bryzyka%2Bsercowo-naczyniowego%2Bu%2Bchorych%2Bna%2Bspondyloartropatie%2Bzapalne%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY,12,https://ppm.edu.pl/docstore/download/UMW4c7d8ee24dc64ae48b45f9bba37af017/Cis%C5%82o+Daria.pdf?entityType=phd&entityId=UMWecc73bce44854bdbae3be035207246fb
Ocena morfologiczna i biochemiczna jednostki nerwowo-naczyniowej mózgowia u myszy w przebiegu zaburzeń gospodarki lipidowej,https://ppm.edu.pl/info/phd/GUMa517d9f6caf4487b8adbd5306443f1d3?affil=&r=phd&ps=100&tab=&title=Doktoraty%2B%25E2%2580%2593%2BOcena%2Bmorfologiczna%2Bi%2Bbiochemiczna%2Bjednostki%2Bnerwowo-naczyniowej%2Bm%25C3%25B3zgowia%2Bu%2Bmyszy%2Bw%2Bprzebiegu%2Bzaburze%25C5%2584%2Bgospodarki%2Blipidowej%2B%25E2%2580%2593%2BPolska%2BPlatforma%2BMedyczna&lang=pl,CC BY-NC-SA,14,https://ppm.edu.pl/docstore/download/GUMb1ec83365d49475895202b85e1b89d16/GUMa517d9f6caf4487b8adbd5306443f1d3.pdf?entityType=phd&entityId=GUMa517d9f6caf4487b8adbd5306443f1d3
